id,origen,fuente,no_enviar_email,no_llamar,compra,visitas_total,tiempo_en_site_total,paginas_vistas_visita,ult_actividad,ambito,ocupacion,conociste_google,conociste_revista,conociste_periodico,conociste_youtube,conociste_facebook,conociste_referencias,score_actividad,score_perfil,descarga_lm
619196,Lead Add Form,Reference,No,No,1,,1427,,,Select,Unemployed,No,No,No,No,No,No,,,No
654415,Landing Page Submission,Google,No,No,0,4.0,332,4.0,Email Opened,IT Projects Management,Unemployed,No,No,No,No,No,No,14.0,15.0,No
587569,Landing Page Submission,Direct Traffic,No,No,0,1.0,109,1.0,Converted to Lead,Marketing Management,Unemployed,No,No,No,No,No,No,16.0,17.0,Yes
653783,API,Referral Sites,No,No,0,4.0,213,4.0,Email Opened,,,No,No,No,No,No,No,14.0,13.0,No
624326,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
608882,Landing Page Submission,Organic Search,No,No,0,5.0,152,5.0,Converted to Lead,E-Business,Unemployed,No,No,No,No,No,No,,,Yes
598510,API,Chat,No,No,0,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
636432,Landing Page Submission,Direct Traffic,Yes,No,0,2.0,1157,2.0,SMS Sent,E-Business,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
614974,Landing Page Submission,Direct Traffic,No,No,1,3.0,206,3.0,SMS Sent,Marketing Management,Unemployed,No,No,No,No,No,No,,,Yes
658407,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
599576,Landing Page Submission,Direct Traffic,No,No,0,11.0,3,1.22,Page Visited on Website,Business Administration,Unemployed,No,No,No,No,No,No,10.0,16.0,Yes
638934,Landing Page Submission,Direct Traffic,No,No,0,5.0,1757,2.5,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,13.0,18.0,No
590711,Landing Page Submission,Direct Traffic,No,No,1,4.0,1503,2.0,SMS Sent,Healthcare Management,Student,No,No,No,No,No,No,14.0,15.0,No
626291,Landing Page Submission,Direct Traffic,No,No,0,8.0,61,8.0,Page Visited on Website,Human Resource Management,Student,No,No,No,No,No,No,15.0,20.0,Yes
602193,API,Direct Traffic,No,No,0,2.0,596,2.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,,,No
622296,API,Chat,No,No,0,0.0,0,0.0,Email Opened,,,No,No,No,No,No,No,,,No
648638,API,Chat,No,No,1,0.0,0,0.0,Email Opened,Marketing Management,Unemployed,No,No,No,No,No,No,16.0,17.0,No
593282,Landing Page Submission,Direct Traffic,No,No,0,2.0,65,2.0,Page Visited on Website,Operations Management,Unemployed,No,No,No,No,No,No,16.0,17.0,Yes
637899,Landing Page Submission,Google,No,No,0,4.0,177,4.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
592425,Landing Page Submission,Direct Traffic,No,No,1,5.0,933,5.0,SMS Sent,IT Projects Management,Working Professional,No,No,No,No,No,No,15.0,15.0,Yes
645315,Landing Page Submission,Direct Traffic,No,No,1,5.0,100,5.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,15.0,18.0,Yes
629932,API,Organic Search,No,No,0,4.0,358,4.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
580531,Landing Page Submission,Direct Traffic,No,No,0,3.0,330,3.0,SMS Sent,Finance Management,Unemployed,No,No,No,No,No,No,13.0,18.0,Yes
582775,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
591313,Landing Page Submission,Google,No,No,1,5.0,1862,5.0,Email Opened,Finance Management,Unemployed,No,No,No,No,No,No,15.0,20.0,No
580614,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,,,No,No,No,No,No,No,17.0,15.0,No
642352,Landing Page Submission,Google,No,No,0,6.0,1049,6.0,SMS Sent,Human Resource Management,Unemployed,No,No,No,No,No,No,14.0,18.0,No
654955,Landing Page Submission,Google,No,No,0,3.0,1132,3.0,Unreachable,Marketing Management,Unemployed,No,No,No,No,No,No,13.0,17.0,No
634271,API,Chat,No,No,1,0.0,0,0.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
614007,API,Google,No,No,1,2.0,1177,1.0,SMS Sent,Select,Unemployed,No,No,No,No,No,No,,,No
637878,API,Chat,No,No,0,0.0,0,0.0,Chat Conversation,Select,Unemployed,No,No,No,No,No,No,15.0,15.0,No
641072,API,Chat,No,No,0,0.0,0,0.0,Email Opened,Select,Unemployed,No,No,No,No,No,No,14.0,15.0,No
